web拍手,0
ChatGPTとコミュニケーションが取れるもの,0
スコアボード,0
ログインシステム,0
QVペン保存機能,0
ChatGPTを用いた話題生成機能の作成,0
翻訳API連携,0
各種統計情報（ギミック発動回数）などの記録,0
IoTと連携,0
ニュース・天気予報の表示,0
ユーザーのIPから場所を特定、天気予報を表示,0
辞書と連携,0
画像検索,0
掲示板,0
キリ番カウンター,0
Stablediffusion,0
TwitterやDiscordの投稿内容表示,0
キャスト系イベントで、キャスト毎の注文金額を集計して、ランキングをつける。,0
お砂糖データベース: お砂糖報告ワールドでお砂糖情報を登録してもらい、誰と誰がお砂糖か可視化できる,0
タグマーカーの記録,0
アスレチックワールドで過去のプレイヤー達の落下とかギミックミスの場所が見える（マリオメーカーのミスった位置見えるやつみたいな）,0
予め決めたパーツを組み合わせてアバターにしてそれを保存して持ち出して自分のアバターにする,0
GitHubのissueコメント、DLしてきてGrabできるパネルに書き込む,0
Discordロールや外部サーバーのデータベースから内容を変えられるタグマーカー,0
discord通話とVRCワールド間の双方向通信,0
ワールドのデータを外部に置いて動的ロードする機能,0
例えば展示会のワールドで、展示物は外部のDBから読み込む。 ワールド更新をしなくてもDBを更新すれば出展物が更新される。 ってやつがあったら便利です！,0
ChatGPT：翻訳機能のサポート、会話が可能なNPCの追加,0
Discord：ロールに応じてオブジェクトが触れたり、追加要素に触れられる。,0
Youtube：コメントを手元のオブジェクトや背景に表示、スパチャでギミック(花火とか)のイベント発火,0
DB：Udonコインなどのデータ保持,0
どのインスタンスにどの属性の参加者が何人居るかといった表示のできるインスタンス間のマッチング支援システム,0
任意の検索クエリのツイートをランダム、あるいは最新順で取得して表示する機能,0
過去1時間でホットなワールドのポータルを自動で表示する機能,0
24時間デジタルサイネージによる広告を流している皆が通過するロビーインスタンス,0
カードゲームワールドで所持カード、デッキ、通貨の保存,0
別インスタンスにいるユーザー同士でマッチングしてバトル,0
VR販促の統合管理パッケージ,0
講演系イベントのサブインスタンスに登壇者の映像を配信。さらに複数視点から両眼立体視できるシェーダーを組み合わせたら面白いかも,0
特定ユーザーをワールドからバンする機能を外部から操作できるようにする,0
